NMU;PIB_I;PIBpC_I;VAADESS_I;VAADESS_R_I;VAAGRO_I;VAAGRO_R_I;VABT_I;VAIND_I;VAIND_R_I;VASERV_I;VASERV_R_I;PIB_V;PIBpC_V;VAADESS_V;VAADESS_R_V;VAAGRO_V;VAAGRO_R_V;VABT_V;VAIND_V;VAIND_R_V;VASERV_V;VASERV_R_V;PIB_M;PIBpC_M;VAADESS_M;VAADESS_R_M;VAAGRO_M;VAAGRO_R_M;VABT_M;VAIND_M;VAIND_R_M;VASERV_M;VASERV_R_M;ANOSESTUDOS;IDHME;IDEB_EF1M;IDEB_EF2M;IDEB_EMM;IDEB_FF1M;IDEB_FF2M;IDEB_FMM;IDEB_MF1M;IDEB_MF2M;IDEB_MMM;IDEB_PF1M;IDEB_PF2M;IDEB_PMM;INREND_EF1M;INREND_EF2M;INREND_EMM;INREND_FF1M;INREND_FF2M;INREND_FMM;INREND_MF1M;INREND_MF2M;INREND_MMM;INREND_PF1M;INREND_PF2M;INREND_PMM;NSLP_EF1M;NSLP_EF2M;NSLP_EMM;NSLP_FF1M;NSLP_FF2M;NSLP_FMM;NSLP_MF1M;NSLP_MF2M;NSLP_MMM;NSLP_PF1M;NSLP_PF2M;NSLP_PMM;NSMAT_EF1M;NSMAT_EF2M;NSMAT_EMM;NSMAT_FF1M;NSMAT_FF2M;NSMAT_FMM;NSMAT_MF1M;NSMAT_MF2M;NSMAT_MMM;NSMAT_PF1M;NSMAT_PF2M;NSMAT_PMM;TXAPRO_EF1M;TXAPRO_EF2M;TXAPRO_EMM;TXAPRO_FF1M;TXAPRO_FF2M;TXAPRO_FMM;TXAPRO_MF1M;TXAPRO_MF2M;TXAPRO_MMM;TXAPRO_PF1M;TXAPRO_PF2M;TXAPRO_PMM;RM_I;RM_V;V_RAECP;V_RAP;V_RCC;V_RCO;V_REM;V_RIT;V_RSE;V_RSIUP;M_RAECP;M_RAP;M_RCC;M_RCO;M_REM;M_RIT;M_RM;M_RSE;M_RSIUP;CENSO22;CENSO_V;EXPOR;IDMECO;IDMINFRA;IDMSUS;IDMSEG;IDMTRAB;REGIOES;IDEB_PFUND;NM_PF1;NM_PF2;NM_PM;NM_PFUND;NM_EF1;NM_EF2;NM_EM;NM_EFUND;NM_MF1;NM_MF2;NM_MM;NM_MFUND;NM_FF1;NM_FF2;NM_FM;NM_FFUND;IDEB_MFUND;IDEB_EFUND;IDEB_FFUND
Goiânia;29038011183;2230447;3280925504;1,30618E+16;24845068;9,89112E+15;25118556268;5650214125;2,24942E+16;16162571571;6,43451E+13;1,789423902;1,516594656;2,188461683;1,224900549;2,515476834;1,4079337;0,178664438;1,311340937;0,073396863;1,8701166;104,6720108;35531879247;2534709,455;5019830924;1,18125E+16;32948220,91;9,21322E+15;28273675993;6309610255;1,41793E+16;21277759106;4,98816E+15;10,08;0,739;6,366666667;5,083333333;4,566666667;6,5;5,666666667;5,5;5,65;4,6;;5,716666667;4,9;4,533333333;0,981888842;0,935732993;0,95333734;0,942263008;0,92247339;0,869177323;0,981129168;0,940158;;0,980515493;0,938335838;0,926542667;222,568;263,002;282,5066667;233,7575;278,71;325,79;206,526;247,434;;207,898;257,248;283,6966667;235,058;261,488;277,9566667;242,395;280,855;330,01;212,074;244,624;;214,06;255,366;279,48;98,03333333;93,4;95,23333333;94,2;92,44;87,33333333;98,13333333;94,26666667;;98,05;93,83333333;94,96666667;1653,32;2,031252;1,891934229;2,425000398;1,670451382;2,055621974;2,585414657;1,894291993;1,768284392;1,128817572;1827,529091;4435,900909;1758,85;1651,958182;2859,255455;1665,991818;2666,135455;2149,951818;5664,895455;1437237;1,103867816;1,29002613;1,303157895;0,950509461;0,877192982;1,263157895;1,372282609;CENTRO GOIANO;5,308333333;210,979;256,307;281,5883333;233,643;228,813;262,245;280,2316667;245,529;209,3;246,029;;227,6645;238,07625;279,7825;327,9;258,929375;5,125;5,725;6,083333333
Anápolis;1106052446;3301334;766673495;9,56949E+15;27269429;3,40372E+16;8011647484;3913010392;4,88415E+16;3304694167;4,12486E+16;13,82103739;1,181934636;2,447070202;1,510962346;6,169260603;0,380925748;1,619544133;1,137772454;0,070252637;1,960473446;0,121050943;11024957774;3251027;1128647268;9,00884E+15;63915430,64;8,56418E+15;9589782184;3826969654;1,68681E+16;4862053767;1,18901E+16;9,82;0,66;6,066666667;5,133333333;4,8;;;5,4;5,85;4,766666667;;5,85;5,033333333;4,8;0,969231327;0,935846835;0,932474997;;;0,88079849;0,942364833;0,892155005;;0,94295799;0,916886677;0,930752657;218,8;264,478;290,2933333;;;329,29;216,312;257,418;;216,33;263,484;291,0433333;228,816;265,708;292,3066667;;;344,48;227,586;260,988;;227,604;265,058;293,09;96,78333333;93,48333333;93,06666667;;;88,25;94,16666667;88,68333333;;94,2;91,65;92,86666667;1257,22;2,086405;2,053853321;2,454689516;1,184557543;2,184483232;1,705029656;2,430177745;1,927768015;0,466637432;1187,11;3156,065455;1565,107273;1443,671818;2187,061818;2067,420909;2033,92;2081,479091;2429,569091;398817;1,19187539;2,690055878;1,546125461;0,955252918;0,953632148;0,922813036;1,454545455;CENTRO GOIANO;5,441666667;221,967;264,271;292,0666667;243,119;223,808;265,093;291,3;244,4505;221,949;259,203;;240,576;;;336,885;;5,308333333;5,6;
Aparecida de Goiânia;5808581056;1274552;883132616;1,73444E+16;8241653;1,61863E+16;509175504;1681047541;3,30151E+16;2519333231;4,94787E+16;2,557598564;1,97508301;2,757666448;1,099074302;2,367460387;0,943556779;25,09081;1,943657701;0,077464924;2,799688335;0,111582222;10975475582;1881346,818;1570071152;1,59671E+16;11505895,82;8,77782E+15;9115065605;2030767751;1,5646E+16;4563321743;9,63744E+15;9,31;0,62;5,65;4,35;4,033333333;;;5,7;5,316666667;3,866666667;;5,333333333;4,283333333;4,033333333;0,977383653;0,881931827;0,884577993;;;0,939484;0,967530158;0,841919168;;0,967780498;0,875457505;0,885193;206,282;248,76;273,6166667;;;325,47;197,982;239,886;;198,54;247,998;274,37;215,864;246,21;267,4366667;;;325,19;205,822;235,9;;206,4;245,208;268,2733333;97,45;88,2;87,9;;;93,95;96,68333333;84,21666667;;96,71666667;87,53333333;88;996,47;2,139994;5,051112191;3,023868607;1,715545123;2,071430049;2,11392767;2,023926206;2,030621289;2,175955842;1414,697273;2219,482727;1881,230909;1599,363636;2251,380909;1646,796364;1665,706364;1469,036364;4386,821818;527550;1,157778768;13,70602062;1,468503937;1,121883657;0,684796044;1,192368839;1,367041199;CENTRO GOIANO;4,808333333;202,47;246,603;271,3216667;224,5365;211,073;247,485;270,5266667;229,279;201,902;237,893;;219,8975;;;325,33;;4,591666667;5;
Rio Verde;4450486735;2521494;447441724;1,12331E+16;593343385;1,4896E+15;398323112;1172982983;2,9448E+16;1769463028;4,44228E+16;2,667620737;1,949504143;2,873313685;1,075255791;3,626277288;13,57030969;26,72214099;0,23938426;0,895827396;2,485975457;0,093030549;7406465749;3304776,636;823175290,4;1,0893E+16;1063947382;7,0652E+15;6895857165;1553042134;2,06259E+16;3052548323;3,10573E+16;9,62;0,656;5,85;5,233333333;4,366666667;;;;6,716666667;5,283333333;;6,716666667;5,25;4,366666667;0,961498162;0,936157167;0,90648335;;;;0,984141998;0,957934672;;0,984079175;0,94411267;0,90648335;208,105;266,186;280,78;;;;227,908;265,098;;227,756;265,882;280,78;227,2425;268,046;280,3933333;;;;244,108;266,224;;243,978;267,486;280,3933333;95,86666667;93,73333333;90,7;;;;98,4;95,68333333;;98,36666667;94,45;90,7;1185,36;2,125008;2,450689113;3,181533493;1,86519945;2,065160123;1,842008421;2,050043805;1,570435727;0,85787054;1939,473636;2894,111818;1539,781818;1670,472727;1813,508182;1848,625455;1977,210909;1976,8;5125,329091;225696;1,27928173;11,33638065;1,265151515;0,948827292;0,728092784;1,159395973;1,200636943;SUL GOIANO;5,983333333;235,867;266,684;280,5866667;251,2755;217,67375;267,116;280,5866667;242,394875;236,008;265,661;;250,8345;;;;;6;5,541666667;
Catalão;5018784764;5795564;211218851;5,74095E+16;130203001;3,53893E+15;3679164992;2057540381;5,59241E+15;1280202759;3,4796E+15;1,448393676;0,113014195;2,703441763;0,016765275;0,434794825;2,69636101;1,612524521;1,25281336;7,76926703;1,732456755;10,74375448;6093141163;5640601,273;388791443,7;1,12888E+16;239159552,6;1,0252E+16;4329904425;1915279212;1,45114E+16;1919080401;1,74913E+16;10,01;0,715;6,216666667;4,933333333;4,4;;;5,3;6,283333333;5,16;;6,266666667;4,916666667;4,433333333;0,976487327;0,912461503;0,906473667;;;0,93292299;0,963548492;0,9117405;;0,966386333;0,912371675;0,905382997;218,322;262,086;282,8666667;;;316,97;220,83;267,5075;;220,09;262,416;284,5233333;229,718;260,628;281,05;;;311,66;234,288;268,48;;232,72;261,046;282,87;97,3;91,28333333;90,36666667;;;92,8;96,45;91,16666667;;96,58333333;91,2;90,23333333;1308,32;2,08744;2,082511227;2,939719394;1,377605619;2,082482528;1,893642127;2,063021366;2,458978156;0,391388528;1850,846364;2603,345455;2041,447273;1500,030909;3852,673636;2811,194545;2099,457273;1680,338182;3855,46;114427;1,320611216;2,574308068;1,484;0,909734513;0,727956989;1,031152648;1,361702128;SUL GOIANO;5,591666667;226,405;261,731;283,6966667;244,068;224,02;261,357;281,9583333;242,6885;227,559;267,99375;;247,776375;;;314,315;;5,721666667;5,575;
Itumbiara;2269361628;2441697;238365202;1,21919E+16;133904845;6,84897E+15;1955110535;562843602;2,87883E+16;1019996886;5,21708E+14;2,102609828;1,846919581;2,368701133;1,094444226;2,399349374;1,108605063;2,164295883;2,616719204;1,209039496;0,183601893;84,8321592;3390311147;3699996,545;366213736,2;1,12374E+16;239807897,4;6,69882E+15;3276703164;985645806;2,13912E+16;1144586837;1,97169E+16;10,11;0,682;5,6;5,333333333;4,8;;;5,7;6,516666667;5,3;;6,483333333;5,35;4,866666667;0,956141673;0,959270847;0,970643663;;;0,884634525;0,94934717;0,927374498;;0,949854493;0,95010083;0,963244017;203,52;265,36;284,3066667;;;327,8;231,172;273,825;;230,504;266,78;287,1966667;223,915;269,652;284,6166667;;;354,45;246,36;284,64;;245,578;271,308;288,1933333;95,13333333;95,91666667;96,9;;;88,35;94,91666667;91,4;;94,95;95,01666667;96,13333333;1135,38;2,007575;1,837502797;2,369146787;1,629623195;2,055030531;1,190334271;2,060983309;1,73912048;1,732222543;1848,423636;1893,892727;1444,97;1492,981818;1798,11;2237,840909;1817,358182;1668,123636;2288,801818;107970;1,162430154;1,383466989;1,85026738;0,99201278;0,82230869;0,957100592;1,248322148;SUL GOIANO;5,916666667;238,041;269,044;287,695;253,5425;213,7175;267,506;284,4616667;240,61175;238,766;279,2325;;258,99925;;;341,125;;5,908333333;5,466666667;
Jataí;2244412532;2549078;221966069;1,09067E+16;52281003;2,56892E+16;2035136962;455161126;2,23651E+16;835199737;4,1039E+16;2,665330657;0,229929017;2,335203823;0,871374589;2,967976896;1,107492041;2,679908104;2,998735654;0,011189696;2,417443335;0,902062026;3329605154;3635932,636;382000854,4;9,79331E+15;703075715,5;1,32626E+16;3009231375;714113937,9;1,21579E+16;1352638499;2,10412E+16;9,65;0,656;5,866666667;5,1;4,833333333;;;5,2;5,8;4,475;;5,8;5,033333333;4,8;0,98508066;0,924250827;0,951185007;;;0,86087048;0,941945167;0,872511998;;0,942809332;0,92061718;0,942121347;201,875;261,962;287,9833333;;;324,45;214,008;253,43;;213,976;260,646;289,5933333;217,365;266,71;289,02;;;342,11;224,568;253,2333333;;224,518;264,768;291,1366667;98,46666667;92,41666667;94,96666667;;;85,95;94,18333333;87,075;;94,25;92,03333333;93,96666667;1134,16;2,112057;2,378624866;2,680566268;1,489616861;2,057690714;1,757610595;2,217139462;1,952186834;3,295669051;1723,041818;2505,395455;1517,850909;1602,511818;2202,696364;2258,507273;1850,02;1642,281818;1986,721818;105729;1,201383997;13,64499766;1,413333333;1,024761905;0,851981352;1,185810811;1,266423358;SUL GOIANO;5,416666667;219,247;262,707;290,365;240,977;209,62;264,336;288,5016667;236,978;219,288;253,3316667;;236,3098333;;;333,28;;5,1375;5,483333333;
Luziânia;2167164223;1241601;395237933;2,01155E+16;191191026;9,73062E+14;196483982;609187166;3,10044E+16;769223695;3,91494E+16;0,220082946;1,816223569;2,136554401;0,096645614;2,3713378;10,72658847;22,1071015;0,240540873;0,010880706;2,054696652;0,929428334;2921414323;1697703,364;638520567,1;1,95069E+16;277987721,7;7,84091E+15;2578130649;711927819,7;1,72144E+16;1074079937;2,32772E+16;9,02;0,602;;4,7;4,466666667;;;5,8;5,516666667;3,3;;5,516666667;4,7;4,466666667;;0,92059166;0,960331323;;;0,87929702;0,92471199;0,98000002;;0,92471199;0,920632498;0,955193323;;252,192;275,77;;;336,07;208,902;202,33;;208,902;252,1;276,6766667;;250,844;272,0866667;;;347,2;220,08;202,19;;220,08;250,744;273,2;;92,06666667;95,9;;;88;92,45;98;;92,45;92,06666667;95,33333333;1111,89;1,859581;2,080891435;1,644399076;2,20954334;1,768166578;2,241537363;1,973243551;2,142609275;0,794509174;1740,208182;2159,218182;1706,216364;1256,914545;1643,940909;1829,208182;1668,881818;1591,717273;5009,619091;208725;1,19591935;1,290953261;1,678947368;1;0,803402647;1,233276158;1,487179487;LESTE GOIANO;5,108333333;214,491;251,422;274,9383333;232,9565;;251,518;273,9283333;;214,491;202,26;;208,3755;;;341,635;;4,408333333;;
Senador Canedo;1009536863;1196148;22909347;2,53972E+15;6597775;7,31428E+14;90204077;169892106;1,88342E+14;496457419;5,50371E+15;3,80485611;2,711044954;29,74613785;8,283515572;1,988342434;55,37009743;35,91004036;7,162206848;19,94485881;2,674643104;7,448176267;2369152018;2095956,727;418589773,7;1,45567E+16;6866072,545;1,96052E+16;1793059869;744038684,1;1,63449E+16;984944356,2;2,25996E+16;9,51;0,617;5,5;4,466666667;4,1;;;5,6;5,2;4,15;;5,2;4,166666667;4,166666667;0,992202505;0,900195847;0,92417035;;;0,854074505;0,94316783;0,839660503;;0,943707995;0,844804337;0,919098343;197,6;249,14;270,2866667;;;326,89;198,134;249,1;;198,112;248,648;271,72;225,39;247,32;263,64;;;348,2;205,952;245,15;;205,98;245,062;265,7366667;99,25;90,08333333;92,13333333;;;84,8;94,18333333;83,78333333;;94,23333333;84,35;91,6;1217,43;1,867319;2,561993652;1,930778993;1,549145748;1,513006363;1,658503635;2,326203106;1,551055343;0,704081927;1191,968182;1890,456364;1677,893636;1640,537273;1716,871818;1882,809091;1813,042727;1705,45;1703,983636;155635;1,843077579;53,20966452;2,034013605;1,220496894;1,062874251;1,411885246;1,466666667;CENTRO GOIANO;4,683333333;202,046;246,855;268,7283333;224,4505;211,495;248,23;266,9633333;229,8625;202,043;247,125;;224,584;;;337,545;;4,675;4,983333333;
Cristalina;1060336116;2276963;114015073;1,1482E+16;492055761;4,95528E+16;992991996;82308092;8,2889E+14;304613069;3,06763E+16;3,154994054;2,440155593;2,742242458;0,876484592;3,365905138;0,107582172;3,128683018;3,522949347;11,26016706;2,783596813;0,889702407;2023313368;3731623,545;196388415,1;6,50114E+15;850875137,3;1,58133E+16;1860594661;183838851,4;8,58468E+15;573314433,5;1,32607E+16;9,46;0,587;;4,616666667;4,366666667;;;4,5;5,1;4,633333333;;5,1;4,6;4,433333333;0,66666698;0,956368833;0,964462663;;;0,887351005;0,926149675;0,920246832;;0,926120677;0,933811173;0,955746667;;244,808;274,4733333;;;283,05;198,982;251,76;;198,982;247,634;276,3933333;;244,32;267,8366667;;;284,79;209,79;251,708;;209,79;247,938;270,5466667;66,7;95,71666667;96,36666667;;;88,65;92,46666667;92;;92,46666667;93,33333333;95,4;1026,7;2,212711;2,210253484;2,313900567;1,57767437;2,386498635;1,831526694;2,236851686;1,995832099;2,0554593;1756,366364;2249,362727;1511,373636;1562,571818;1373,189091;1514,15;1738,501818;1528,562727;5160,786;62249;1,336389008;13,01598239;1,374015748;0,978873239;1,004297994;1,018445323;1,110320285;LESTE GOIANO;4,85;204,386;247,786;273,47;226,086;;244,564;271,155;;204,386;251,734;;228,06;;;283,92;;4,866666667;;
