Ano;Município;"UF do Município";"Codigo SH4";"Descrição SH4";País;"Valor FOB (US$)"
2020;"Rio Verde - GO";Goiás;1201;"Soja, mesmo triturada";China;1023915104
2020;"Mozarlândia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";China;445655880
2020;"Jataí - GO";Goiás;1201;"Soja, mesmo triturada";China;428770594
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";China;291603015
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;China;234614887
2020;"Alto Horizonte - GO";Goiás;2603;"Minérios de cobre e seus concentrados";Espanha;184371123
2020;"Palmeiras de Goiás - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";China;159162060
2020;"Crixás - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";"Reino Unido";127111626
2020;"Cristalina - GO";Goiás;1201;"Soja, mesmo triturada";China;108797549
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;China;105425633
2020;"Senador Canedo - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";China;97687756
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;"Países Baixos (Holanda)";85984275
2020;"Alto Horizonte - GO";Goiás;2603;"Minérios de cobre e seus concentrados";China;76100855
2020;"Rio Verde - GO";Goiás;1005;Milho;Vietnã;67439239
2020;"Catalão - GO";Goiás;1201;"Soja, mesmo triturada";China;66960415
2020;"Pilar de Goiás - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";Canadá;65220772
2020;"Alto Horizonte - GO";Goiás;2603;"Minérios de cobre e seus concentrados";Alemanha;64956220
2020;"Rio Verde - GO";Goiás;1201;"Soja, mesmo triturada";Tailândia;62488208
2020;"Rio Verde - GO";Goiás;1005;Milho;Japão;62100269
2020;"São Simão - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Países Baixos (Holanda)";58557016
2020;"Itaberaí - GO";Goiás;0207;"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105";China;58532560
2020;"Alto Horizonte - GO";Goiás;2603;"Minérios de cobre e seus concentrados";Finlândia;56050300
2020;"Ipameri - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Indonésia;50142892
2020;"Rio Verde - GO";Goiás;1005;Milho;"Taiwan (Formosa)";45280397
2020;"Niquelândia - GO";Goiás;7202;Ferro-ligas;China;43988320
2020;"Crixás - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";Canadá;43806113
2020;"Itumbiara - GO";Goiás;1201;"Soja, mesmo triturada";China;40732268
2020;"Palmeiras de Goiás - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Rússia;40470491
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;"Coreia do Sul";39906138
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;"Estados Unidos";38141512
2020;"São Simão - GO";Goiás;1201;"Soja, mesmo triturada";China;37672750
2020;"Goiânia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Egito;36201324
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;Bélgica;36084657
2020;"Rio Verde - GO";Goiás;1507;"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados";Índia;34485514
2020;"Anápolis - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Espanha;33492052
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;"África do Sul";31830837
2020;"Goianésia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";"Estados Unidos";28909647
2020;"Rio Verde - GO";Goiás;1005;Milho;"Coreia do Sul";28159439
2020;"Palmeiras de Goiás - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Estados Unidos";27596870
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";Tailândia;27497557
2020;"Goiânia - GO";Goiás;0510;"Âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo";"Hong Kong";27270328
2020;"Catalão - GO";Goiás;0206;"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"Hong Kong";27230806
2020;"Castelândia - GO";Goiás;1201;"Soja, mesmo triturada";China;26907974
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Espanha;26368864
2020;"Itumbiara - GO";Goiás;4107;"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 4114";"Estados Unidos";26318322
2020;"Luziânia - GO";Goiás;1005;Milho;Irã;26045720
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;Singapura;25880315
2020;"Itaberaí - GO";Goiás;0207;"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105";Japão;25801193
2020;"Goiânia - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";Itália;25538939
2020;"Minaçu - GO";Goiás;2524;Amianto;Índia;25147630
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;"Estados Unidos";25120785
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";"Coreia do Sul";25100987
2020;"Jataí - GO";Goiás;1201;"Soja, mesmo triturada";Tailândia;24598479
2020;"Rio Verde - GO";Goiás;1005;Milho;Malásia;23933968
2020;"São Simão - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Alemanha;23777397
2020;"Rio Verde - GO";Goiás;1507;"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados";China;23383640
2020;"Itumbiara - GO";Goiás;4104;"Couros e peles curtidos ou em crosta, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outro modo";China;22839824
2020;"Rio Verde - GO";Goiás;1201;"Soja, mesmo triturada";"Coreia do Sul";22010427
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Polônia;22002831
2020;"Crixás - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";"Estados Unidos";21530494
2020;"Rio Verde - GO";Goiás;1201;"Soja, mesmo triturada";"Taiwan (Formosa)";21234443
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;Malásia;21015389
2020;"Itumbiara - GO";Goiás;2207;"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico";"Estados Unidos";20903282
2020;"Catalão - GO";Goiás;8424;"Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh";Rússia;20415481
2020;"Barro Alto - GO";Goiás;7202;Ferro-ligas;Espanha;20407203
2020;"Goiatuba - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";"Estados Unidos";20283919
2020;"Edéia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";China;19661957
2020;"Anápolis - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";França;19415446
2020;"Jataí - GO";Goiás;1005;Milho;Japão;18705239
2020;"Jataí - GO";Goiás;1005;Milho;Vietnã;18558211
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";França;18125078
2020;"Alto Horizonte - GO";Goiás;2603;"Minérios de cobre e seus concentrados";Bulgária;17640621
2020;"Aparecida de Goiânia - GO";Goiás;3004;"Medicamentos (exceto os produtos das posições 3002, 3005 ou 3006) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profilácticos, apresentados em doses (incluindo os destinados a serem administrados por via sub";Argentina;17135664
2020;"Goiânia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";17074668
2020;"Nazário - GO";Goiás;3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";"Países Baixos (Holanda)";16917640
2020;"Ipameri - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Tailândia;16111700
2020;"Mineiros - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Emirados Árabes Unidos";15721362
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";China;15034634
2020;"Mineiros - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";14880384
2020;"Rio Verde - GO";Goiás;1005;Milho;"Arábia Saudita";14576299
2020;"Jataí - GO";Goiás;1005;Milho;"Taiwan (Formosa)";14007703
