NMU,ANO,PIB,PIBpC,VABT,VAAGRO,VAAGRO_R,VAIND,VAIND_R,VASERV,VASERV_R,VAADESS,VAADESS_R,REM,RIT,RSIUP,RCC,RCO,RSE,RAP,RAECP,CENSO,MCEXT,CTRY,US,IDBEF1,IDBEF2,IDBEM,IDBFF1,IDBFF2,IDBFM,IDBMF1,IDBMF2,IDBMM,IRE_F1,IRE_F2,IRE_M,IRF_F1,IRF_F2,IRF_M,IRM_F1,IRM_F2,IRM_M,NSLPE_F1,NSLPE_F2,NSLPE_M,NSLPF_F1,NSLPF_F2,NSLPF_M,NSLPM_F1,NSLPM_F2,NSLPM_M,NSME_F1,NSME_F2,NSME_M,NSMF_F1,NSMF_F2,NSMF_M,NSMM_F1,NSMM_F2,NSMM_M,NSMPE_F1,NSMPE_F2,NSMPE_M,NSMPF_F1,NSMPF_F2,NSMPF_M,NSMPM_F1,NSMPM_F2,NSMPM_M,TAE_F1,TAE_F2,TAE_M,TAF_F1,TAF_F2,TAF_M,TAM_F1,TAM_F2,TAM_M,SIFI,FCMI,MCSI,SUPCOM,INSND,IDHME
Abadia de Goiás,2009,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,4.9,4.1,,,0.80712301,,,,,0.93133402,0.70349097,,,238.86,,,,,188.82,267.98,,,235.8,,,,,205.05,278.16,,,4.5778332,,,,,5.3105021,5.7690001,,,81.7,,,,,92.9,68.1,,,,,,,
Abadia de Goiás,2010,59042.935,8596.82,54853.356,4853.203,0.0884759539598634,14636.622,0.2668318416105661,18096.555,0.3299078911416104,17266.976,0.3147843132879599,0.0,957.41,0.0,1065.15,852.75,1099.87,819.75,824.63,6876.0,"Pontas, pregos, percevejos, escápulas e artefactos semelhantes, de cobre ou de ferro ou aço com cabeça de cobre; parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas (arruelas) incluíd Partes e acessórios dos veículos automóveis das posições 8701 a 8705 Instrumentos e aparelhos para medida ou controlo do caudal (vazão), do nível, da pressão ou de outras características variáveis dos líquidos ou gases (por exemplo: medidores de caudal, indicadores de nível, manómetros, contadores de calor), exceto os ins Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes Outros tubos (por exemplo: soldados ou rebitados), de secção circular, de diâmetro exterior superior a 406,4 mm, de ferro ou aço Molas e folhas de molas, de ferro ou aço Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Outras obras de borracha vulcanizada não endurecida Outras obras de plástico e obras de outras matérias das posições 3901 a 3914 Outras obras de borracha vulcanizada não endurecida Outras obras de plástico e obras de outras matérias das posições 3901 a 3914",Estados Unidos Estados Unidos Estados Unidos Estados Unidos México Estados Unidos Estados Unidos Estados Unidos Costa Rica Estados Unidos Estados Unidos Estados Unidos Costa Rica Costa Rica Estados Unidos,61835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7968.0,2335.0,2626.0,474.0,88.0,0.579
Abadia de Goiás,2011,66848.335,9518.49,60897.656,4870.396,0.0799767399914374,14111.372,0.2317227447966141,21366.468,0.3508586274650702,20549.42,0.3374418877468781,0.0,1058.06,0.0,1118.7,760.66,1117.07,980.28,964.01,7897.0,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Máquinas e aparelhos não especificados nem compreendidos em outras posições do presente capítulo, para preparação ou fabricação industrial de alimentos ou de bebidas, exceto as máquinas e aparelhos para extracção ou preparação de óleos ou gorduras vegeta Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Outras obras de borracha vulcanizada não endurecida Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas Molas e folhas de molas, de ferro ou aço Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Pontas, pregos, percevejos, escápulas e artefactos semelhantes, de cobre ou de ferro ou aço com cabeça de cobre; parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas (arruelas) incluíd Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Outras obras de plástico e obras de outras matérias das posições 3901 a 3914 Rolamentos de esferas, de roletes ou de agulhas Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Outras obras de borracha vulcanizada não endurecida",Equador Estados Unidos Estados Unidos México Estados Unidos Costa Rica Estados Unidos Costa Rica Estados Unidos Estados Unidos Estados Unidos Costa Rica Costa Rica Estados Unidos México Costa Rica,1433347.0,,4.0,,,,,5.7,3.9,,,0.81329697,,,,,0.93997598,0.69017702,,,247.88,,,,,209.52,262.76,,,244.41,,,,,227.35,272.92,,,4.8718328,,,,,6.1122479,5.5949998,,,80.6,,,,,93.9,67.4,,10872.0,2421.0,3072.0,696.0,67.0,0.553
Abadia de Goiás,2012,146855.211,20499.05,125111.487,5853.793,0.0467886134228426,20207.005,0.1615119881038581,75626.901,0.6044760782037544,23423.788,0.1872233202695448,0.0,1358.08,0.0,1377.84,1180.56,1032.63,951.3,1164.88,8918.0,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Outras obras de borracha vulcanizada não endurecida Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans Outras obras de borracha vulcanizada não endurecida Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Molas e folhas de molas, de ferro ou aço Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétri Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Acessórios para tubos [por exemplo: uniões, cotovelos, mangas (luvas)], de ferro fundido, ferro ou aço Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo",México Costa Rica Estados Unidos Estados Unidos México Estados Unidos México Estados Unidos México Estados Unidos Estados Unidos Estados Unidos Equador Costa Rica,293086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.0,343.0,434.0,65.0,0.0,0.622
Abadia de Goiás,2013,159332.681,21056.25,138567.541,6096.365,0.0439956208792072,29598.966,0.2136067782280989,76532.114,0.5523091010181093,26340.095,0.1900884926578873,0.0,1388.1,0.0,1467.9,1397.83,1556.64,1547.54,1305.94,9939.0,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétri Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Outras obras de borracha vulcanizada não endurecida Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Rolamentos de esferas, de roletes ou de agulhas Outras obras de borracha vulcanizada não endurecida",Itália Argentina Estados Unidos Estados Unidos Estados Unidos Estados Unidos Costa Rica Costa Rica Estados Unidos Equador Estados Unidos México Estados Unidos Estados Unidos,651262.0,,4.0,,,,,6.0,4.5,,,0.91665602,,,,,0.98144698,0.83226001,,,230.13,,,,,213.69,261.2,,,230.38,,,,,224.77,261.75,,,4.3418331,,,,,6.1392021,5.3825002,,,91.8,,,,,98.0,83.2,,2798.0,611.0,727.0,97.0,6.0,0.55
Abadia de Goiás,2014,185288.794,23960.79,161652.611,5806.934,0.0359223025479,30663.559,0.1896879908732188,94534.913,0.5848028832642858,30647.205,0.1895868233145952,800.0,1452.53,0.0,1510.74,2263.56,1608.09,1724.65,1298.68,10960.0,"Outras obras de borracha vulcanizada não endurecida Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans Outras obras de borracha vulcanizada não endurecida Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Molas e folhas de molas, de ferro ou aço Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo",Estados Unidos Estados Unidos Costa Rica Argentina Estados Unidos Itália Estados Unidos Costa Rica Estados Unidos México,140916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,356.0,355.0,71.0,2.0,0.663
Abadia de Goiás,2015,171701.646,21748.15,150040.902,6318.01,0.0421085844978458,27979.395,0.186478451055966,80369.29,0.5356492058412178,35374.207,0.2357637586049702,0.0,1509.07,0.0,1787.17,1387.15,1826.64,1796.17,1451.54,11981.0,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Outras obras de borracha vulcanizada não endurecida Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Outras obras de borracha vulcanizada não endurecida Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétri Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Outras obras de borracha vulcanizada não endurecida Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Outras obras de borracha vulcanizada não endurecida Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes",Tailândia Costa Rica Estados Unidos México México Tailândia Equador Costa Rica Estados Unidos Estados Unidos Equador México Costa Rica México,306419.0,,3.9,,,,,5.5,4.6,,,0.83208799,,,,,0.94381499,0.85165,,,,,,,,,,,,,,,,,,,,,4.6795001,,,,,5.838716,5.4514999,,,83.3,,,,,94.4,85.1,,72702.0,26326.0,24822.0,1846.0,831.0,0.588
Abadia de Goiás,2016,165066.914,20497.57,145038.508,6201.0,0.0427541629151342,27840.425,0.1919519538907556,74035.878,0.5104566988513147,36961.204,0.2548371774480746,0.0,1605.93,0.0,1460.05,1530.27,1468.54,1973.23,1637.25,13002.0,"Construções e suas partes (por exemplo: pontes e elementos de pontes, comportas, torres, pórticos, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, portas de correr, balaustradas), de ferro fun Acessórios para tubos [por exemplo: uniões, cotovelos, mangas (luvas)], de cobre Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Outras obras de plástico e obras de outras matérias das posições 3901 a 3914 Outras obras de borracha vulcanizada não endurecida Outras obras de borracha vulcanizada não endurecida Abrasivos naturais ou artificiais, em pó ou em grãos, aplicados sobre matérias têxteis, papel, cartão ou outras matérias, mesmo recortados, costurados ou reunidos de outro modo Molas e folhas de molas, de ferro ou aço Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétri Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Rolamentos de esferas, de roletes ou de agulhas Ferro e aço não ligado, em lingotes ou outras formas primárias, exceto o ferro da posição 7203 Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans Pomadas e cremes para calçado, encáusticos, preparações para dar brilho a pinturas de carroçarias, vidros ou metais, pastas e pós para arear e preparações semelhantes [mesmo apresentados em papel, pastas (ouates), feltros, falsos tecidos, plástico ou borr Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço T-shirts e camisolas interiores, de malha Monofilamentos cuja maior dimensão do corte transversal seja superior a 1 mm (monofios), varas, bastões e perfis, mesmo trabalhados à superfície mas sem qualquer outro trabalho, de plásticos Acessórios para tubos [por exemplo: uniões, cotovelos, mangas (luvas)], de ferro fundido, ferro ou aço Outras obras de borracha vulcanizada não endurecida Outras obras de borracha vulcanizada não endurecida Máquinas e aparelhos não especificados nem compreendidos em outras posições do presente capítulo, para preparação ou fabricação industrial de alimentos ou de bebidas, exceto as máquinas e aparelhos para extracção ou preparação de óleos ou gorduras vegeta Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases",Costa Rica Costa Rica Costa Rica Costa Rica México Estados Unidos Costa Rica Costa Rica México Argentina Costa Rica Costa Rica Argentina Argentina Costa Rica Costa Rica Argentina Suíça Costa Rica Costa Rica Argentina Costa Rica República Dominicana Canadá México República Dominicana Costa Rica México Costa Rica Argentina,487276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800.0,3441.0,3677.0,817.0,25.0,0.568
Abadia de Goiás,2017,234041.689,28517.33,203513.569,6475.99,0.0318209249231927,38119.329,0.1873060808048627,116209.172,0.5710143680886458,42709.079,0.2098586310969761,0.0,1573.26,0.0,4754.64,1564.98,1422.01,2235.83,1654.25,14023.0,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Outras obras de borracha vulcanizada não endurecida Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Outro calçado com sola exterior e parte superior de borracha ou plástico Outras obras de borracha vulcanizada não endurecida Rolamentos de esferas, de roletes ou de agulhas Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de matérias têxteis Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Outras obras de borracha vulcanizada não endurecida Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo",Tailândia Argentina Argentina Tailândia Estados Unidos Tailândia Argentina Estados Unidos Estados Unidos Costa Rica México México Costa Rica Tailândia Equador Argentina Tailândia,388815.0,,4.3,4.0,,,,6.1,4.8,,,0.91765398,0.93186402,,,,0.981062,0.89646101,,,246.07,259.2,,,,219.97,263.92,,,237.69,264.45,,,,223.36,259.23,,,4.7293329,4.28408,,,,6.226285,5.386167,,,92.4,93.4,,,,98.2,89.2,,1126.0,297.0,307.0,104.0,0.0,0.585
Abadia de Goiás,2018,194987.894,22717.92,171234.558,6137.051,0.0358400259368205,29250.405,0.1708206879594947,90358.49,0.5276884003753495,45488.612,0.2656508857283353,0.0,1599.87,1066.78,1963.31,1616.64,1553.41,2257.51,1800.69,15044.0,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Telas metálicas (incluídas as telas contínuas ou sem fim), grades e redes, de fios de ferro ou aço; chapas e tiras, distendidas, de ferro ou aço Outras obras de borracha vulcanizada não endurecida Outras obras de borracha vulcanizada não endurecida Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétri Prensas, esmagadores e máquinas e aparelhos semelhantes, para fabricação de vinho, sidra, sumos de frutas ou bebidas semelhantes Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Fibras sintéticas descontínuas, não cardadas, não penteadas nem transformadas de outro modo para fiação Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh Rolamentos de esferas, de roletes ou de agulhas Molas e folhas de molas, de ferro ou aço Outras obras de borracha vulcanizada não endurecida Outras obras de borracha vulcanizada não endurecida Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Máquinas e aparelhos não especificados nem compreendidos em outras posições do presente capítulo, para preparação ou fabricação industrial de alimentos ou de bebidas, exceto as máquinas e aparelhos para extracção ou preparação de óleos ou gorduras vegeta Motores e geradores, elétricos, exceto os grupos electrogéneos Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo",África do Sul República Dominicana Tailândia México Zimbábue México México Argentina Argentina México Estados Unidos Zimbábue Zimbábue Estados Unidos Tailândia Estados Unidos Zimbábue Zimbábue República Dominicana África do Sul México Tailândia,571045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.0,608.0,823.0,148.0,0.0,0.624
