NMU,ANO,REM,RIT,RSIUP,RCC,RCO,RSE,RAP,RAECP
Abadia de Goiás,2010,0.0,957.41,0.0,1065.15,852.75,1099.87,819.75,824.63
Abadia de Goiás,2011,0.0,1058.06,0.0,1118.7,760.66,1117.07,980.28,964.01
Abadia de Goiás,2012,0.0,1358.08,0.0,1377.84,1180.56,1032.63,951.3,1164.88
Abadia de Goiás,2013,0.0,1388.1,0.0,1467.9,1397.83,1556.64,1547.54,1305.94
Abadia de Goiás,2014,800.0,1452.53,0.0,1510.74,2263.56,1608.09,1724.65,1298.68
Abadia de Goiás,2015,0.0,1509.07,0.0,1787.17,1387.15,1826.64,1796.17,1451.54
Abadia de Goiás,2016,0.0,1605.93,0.0,1460.05,1530.27,1468.54,1973.23,1637.25
Abadia de Goiás,2017,0.0,1573.26,0.0,4754.64,1564.98,1422.01,2235.83,1654.25
Abadia de Goiás,2018,0.0,1599.87,1066.78,1963.31,1616.64,1553.41,2257.51,1800.69
Abadia de Goiás,2019,0.0,1594.59,2071.32,1813.47,1622.44,889.47,2652.68,2055.49
Abadia de Goiás,2020,0.0,1663.64,2856.1,1628.0,1550.93,1621.0,4068.08,2352.0
Abadia de Goiás,2021,0.0,1852.74,2264.05,2129.09,1704.05,1901.77,6822.69,1910.59
Abadiânia,2010,1040.93,677.85,3738.79,0.0,709.85,816.79,794.61,703.4
Abadiânia,2011,1166.6,738.03,4142.51,808.76,730.67,933.86,1042.59,785.22
Abadiânia,2012,1272.62,861.19,5551.66,787.94,823.88,1055.01,1027.49,884.68
Abadiânia,2013,1395.66,1055.78,2220.15,1177.8,911.84,1229.05,1065.9,971.21
Abadiânia,2014,1484.18,1230.0,2010.57,1611.93,1020.21,1304.12,1273.56,1069.27
Abadiânia,2015,1666.17,1267.99,2802.65,1286.94,1166.27,1454.29,1613.78,1195.22
Abadiânia,2016,1692.15,1402.78,3012.12,1343.22,1251.39,1566.42,1756.99,1397.3
Abadiânia,2017,1847.21,1344.49,3319.02,1613.07,1339.91,1658.26,1980.82,1515.67
Abadiânia,2018,2011.77,1594.78,2954.42,1407.5,1330.49,1707.52,1795.17,1616.28
Abadiânia,2019,2029.52,1715.58,3213.08,0.0,1395.91,1819.11,2066.53,1663.16
Abadiânia,2020,1867.66,1656.11,2975.96,1059.06,1720.41,1561.79,1824.95,1695.47
Abadiânia,2021,2069.68,1859.86,2824.14,1741.4,1652.23,2004.4,2100.33,1810.88
Acreúna,2010,0.0,1181.87,4095.32,1373.25,985.08,1027.34,1328.15,1029.22
Acreúna,2011,0.0,1346.7,4613.65,2056.65,1047.9,1167.23,1377.13,1206.08
Acreúna,2012,0.0,1504.12,6317.1,1735.89,1261.03,1369.16,1459.86,1414.51
